Total packets,Total size,Mean size,Mean inter-arrival,Scenario
135,13091,96.97037037,0.001804649,0
49,4593,93.73469388,0.004644771,0
113,11130,98.49557522,0.001915045,0
6,390,65,0.0399848,0
288,28546,99.11805556,0.00083839,0
82,7828,95.46341463,0.002570309,0
107,10588,98.95327103,0.002012189,0
60,5492,91.53333333,0.003615237,0
138,13306,96.42028986,0.001461015,0
49,4594,93.75510204,0.004444104,0
150,14835,98.9,0.001451282,0
171,16791,98.19298246,0.0014211,0
66,6330,95.90909091,0.003650462,0
174,17027,97.85632184,0.001432,0
101,9871,97.73267327,0.00227556,0
94,9287,98.79787234,0.002345871,0
119,11546,97.02521008,0.001985619,0
84,7978,94.97619048,0.002711494,0
80,7841,98.0125,0.002538696,0
46,4454,96.82608696,0.005473822,0
223,21834,97.9103139,0.000979441,0
82,7985,97.37804878,0.002622481,0
126,12396,98.38095238,0.001961472,0
56,5263,93.98214286,0.003876709,0
122,12002,98.37704918,0.001702273,0
150,14627,97.51333333,0.00153757,0
130,12705,97.73076923,0.001767186,0
91,8846,97.20879121,0.0021065,0
85,8226,96.77647059,0.002576536,0
61,5780,94.75409836,0.00399,0
193,18853,97.68393782,0.001055625,0
123,12156,98.82926829,0.001927582,0
113,11052,97.80530973,0.002218759,0
77,7379,95.83116883,0.003188868,0
71,6637,93.47887324,0.003522314,0
170,16675,98.08823529,0.001369225,0
121,11719,96.85123967,0.001808567,0
125,12163,97.304,0.001951121,0
84,8243,98.13095238,0.002706747,0
73,7064,96.76712329,0.003443375,0
91,8759,96.25274725,0.002554867,0
139,13652,98.21582734,0.001450594,0
118,11531,97.72033898,0.001960581,0
60,5800,96.66666667,0.004002831,0
161,15806,98.17391304,0.001341269,0
55,5304,96.43636364,0.004292667,0
6,390,65,0.0389546,0
7,455,65,0.037843833,0
42,3839,91.4047619,0.004849878,0
39,3544,90.87179487,0.005476289,0
161,15775,97.98136646,0.001466469,0
187,18476,98.80213904,0.001244317,0
176,17293,98.25568182,0.0013448,0
135,13284,98.4,0.001795425,0
149,14613,98.0738255,0.001678797,0
65,6444,99.13846154,0.003484703,0
96,9256,96.41666667,0.002316074,0
114,11129,97.62280702,0.002170558,0
76,7358,96.81578947,0.00266968,0
85,8315,97.82352941,0.002640107,0
122,12146,99.55737705,0.001679909,0
112,10765,96.11607143,0.002154712,0
105,10424,99.27619048,0.002068096,0
43,3963,92.1627907,0.004749381,0
206,20341,98.74271845,0.001154537,0
113,11075,98.00884956,0.002155429,0
69,6798,98.52173913,0.00292925,0
114,11167,97.95614035,0.001769212,0
215,21248,98.82790698,0.0011065,0
81,7701,95.07407407,0.002999938,0
117,11451,97.87179487,0.001834379,0
80,7890,98.625,0.003098671,0
110,10644,96.76363636,0.002286853,0
152,15026,98.85526316,0.001618066,0
107,10622,99.27102804,0.002330491,0
91,8829,97.02197802,0.002335167,0
80,7692,96.15,0.002536519,0
95,9277,97.65263158,0.002611511,0
83,8000,96.38554217,0.003005366,0
95,9457,99.54736842,0.002185553,0
112,10963,97.88392857,0.00195491,0
110,10827,98.42727273,0.002203541,0
101,9648,95.52475248,0.00210395,0
62,6178,99.64516129,0.003267754,0
111,10799,97.28828829,0.002124791,0
44,4183,95.06818182,0.005582721,0
127,12508,98.48818898,0.001759135,0
62,5947,95.91935484,0.003273787,0
130,12801,98.46923077,0.00155262,0
75,7221,96.28,0.003292324,0
157,15388,98.01273885,0.001508506,0
217,21491,99.03686636,0.001042917,0
174,17127,98.43103448,0.001406705,0
78,7476,95.84615385,0.003221831,0
162,16111,99.45061728,0.001539571,0
90,8742,97.13333333,0.002484528,0
61,5870,96.2295082,0.003855717,0
67,6346,94.71641791,0.003632379,0
135,13292,98.45925926,0.001658866,0
97,9618,99.15463918,0.002100219,0
124,11960,96.4516129,0.001756789,0
87,8518,97.90804598,0.002797907,0
89,8634,97.01123596,0.002418932,0
90,8774,97.48888889,0.00249509,0
76,7359,96.82894737,0.00266692,0
74,7126,96.2972973,0.003303671,0
131,12767,97.45801527,0.001657746,0
53,5260,99.24528302,0.003827442,0
128,12609,98.5078125,0.001595173,0
67,6931,103.4477612,0.0036375,0
165,16312,98.86060606,0.001411287,0
310,30621,98.77741935,0.00077333,0
108,10727,99.32407407,0.002270794,0
94,9063,96.41489362,0.002656882,0
76,7311,96.19736842,0.003289613,0
98,9689,98.86734694,0.002260784,0
113,11105,98.27433628,0.002008071,0
151,14930,98.87417219,0.001636233,0
117,11450,97.86324786,0.002090526,0
69,6475,93.84057971,0.003466103,0
70,6878,98.25714286,0.003066464,0
139,13647,98.17985612,0.001737536,0
128,12662,98.921875,0.001686622,0
102,9957,97.61764706,0.001977911,0
75,7222,96.29333333,0.002696973,0
56,5242,93.60714286,0.004376364,0
39,3772,96.71794872,0.005260553,0
10,742,74.2,0.023157333,0
10,735,73.5,0.022289667,0
162,16116,99.48148148,0.001488404,0
299,29712,99.37123746,0.000727453,0
54,5068,93.85185185,0.004151019,0
199,19595,98.46733668,0.001080313,0
123,11918,96.89430894,0.00201941,0
106,10532,99.35849057,0.002252105,0
61,5848,95.86885246,0.003489433,0
84,8227,97.94047619,0.002628892,0
182,17719,97.35714286,0.001356232,0
90,8963,99.58888889,0.002245888,0
87,8268,95.03448276,0.002566709,0
116,11657,100.4913793,0.001743426,0
59,5402,91.55932203,0.004135672,0
130,13033,100.2538462,0.001709248,0
